FID,src_name,src_link,ev_id,ev_date,ev_time,ev_title,ev_desc,loc_desc,loc_accu,ls_cat,ls_trig,ls_size,ls_setting,fatalities,injuries,storm_name,photo_link,comments,ev_imp_src,ev_imp_id,latitude,longitude,ctry_name,ctry_code,div_name,gaz_point,gaz_dist,sub_date,edit_date,lon,lat,dt
2449,State Times,http://news.statetimes.in/fresh-landslide-shuts-batote-doda-kishtwar-highway/,10841,1490832000000.0,07:00,National Highway 1B Fresh Landslides in Kulgardi area,Kishtwar bound passengers remained stranded since morning after the Batote-Doda-Kishtwar National Highway (NH1B) got again blocked due to heavy fresh landslides and boulders at Kulgardi area of Drabshalla in District Kishtwar on Wednesday early morning.,Al Faridia Travels,1km,landslide,unknown,medium,above_road,0,0, ,http://news.statetimes.in/wp-content/uploads/2017/03/Batote-Doda-Kishtwar-NH1B-blocked-at-Drabshalla-area-after-fresh-landslides.jpg,"Time approximated using the time that the road was closed, 7am.",GLC, ,33.18025403,75.80786093,India,IN,Jammu and Kashmir,Shandero,4.08,1505433600000.0,1606348800000,8438892.477300184,3919254.184447139,2017-03-30
2451,Dawn,https://www.dawn.com/news/1329757/landslide-kills-two-labourers-in-shangla,10934,1493251200000.0,unknown,Fatal landslide in Lawdar area,"Landslide kills 2 laborers and critically injures another. Article: ""According to police, three labourers were busy in construction work on a roadside at Lawdar area of Shangla when a landslide hit them.""","Lawdar (??), Pakistan",50km,landslide,rain,medium,engineered_slope,2,1, , , ,GLC, ,34.91321927,72.75163388,Pakistan,PK,North-West Frontier,Shang,2.1,1500249600000.0,1606348800000,8098674.838122916,4152094.2344070575,2017-04-27
2459,Khurki,http://khurki.net/himachal-manali-keylong-highway/,10854,1493942400000.0, ,Landslide on Manali-Keylong Highway,"Article: "" An avalanche at the Rani nullah and a landslide near the Beas nullah on Friday evening blocked the Manali-Keylong highway, disrupting the traffic movement. Aviral Jain, officer in charge, Border Roads Organisation (BRO), said a landslide near","Manali Sub-District, Kullu, Himachal Pradesh",5km,landslide,snowfall_snowmelt,small,above_road,0,0, ,http://khurki.net/wp-content/uploads/2017/05/Highway.jpg, ,GLC, ,32.34193603,77.22157675,India,IN,Himachal Pradesh,Chandra,7.96,1499990400000.0,1606348800000,8596266.601729738,3808279.2111759786,2017-05-05
2461,Kuensel,http://www.kuenselonline.com/landslides-block-roads-across-the-country/,11180,1499472000000.0, ,Landslide on road between Wangdue and Thimphu,"Landslide after rains blocks road, cleared after a few days. Date approximate.","Wangdeu-Thimphu road, Bhutan",10km,landslide,downpour,small,above_road,0,0, , , ,GLC, ,27.51353298,89.79033898,Bhutan,BT,Thimphu,Sankosh,14.22,1499731200000.0,1606348800000,9995414.81374299,3187778.720789228,2017-07-08
2464,Arunachal Times,http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/,11172,1499558400000.0,09:00,Landslide at Niti Vihar,"After heavy rains. Article: In Itanagar, a massive landslide occurred this morning [7/9/17]at upper Niti Vihar junction washing away Police waiting shed and buried a dwelling house and damaged two cars.","Niti Vihar, Itanagar, Arunachal Pradesh, India",5km,landslide,continuous_rain,medium,natural_slope,0,0, ,http://www.arunachaltimes.in/wp-content/uploads/2017/07/0000-268x1024.jpg, ,GLC, ,27.0844941,93.60505989,India,IN,Arunachal Pradesh,Kaolakhat,50.62,1499644800000.0,1606348800000,10420067.602183403,3134032.141684274,2017-07-09
2465,Kathmandu Post,http://kathmandupost.ekantipur.com/news/2017-07-10/flood-damages-three-homes-in-rukum-village.html,10886,1499558400000.0, ,Fatal landslide in Rayale,"Landslide kills man on path in Rayale (??), following continuous rains","Rayale, Panauti Municipality, Nepal",10km,landslide,continuous_rain,medium,natural_slope,1,0, , , ,GLC, ,27.56884999,85.50492198,Nepal,NP,Bagmati,Banepa,7.54,1499644800000.0,1606348800000,9518364.375577472,3194723.584372469,2017-07-09
2469,Hindustan Times,http://www.hindustantimes.com/india-news/sinking-sliding-land-in-budgam-triggers-migration/article1-1332899.aspx,10990,1427673600000.0, ,Karewas sink,Hundreds of families in these tehsils have shifted to safer locations following sinking and caving-in of karewas (terraced high lands with deep gorges and ravines).,Charar-Sharief,10km,landslide,continuous_rain,medium,unknown,0,0, , , ,GLC, ,33.85483981,74.76317443,India,IN,Jammu and Kashmir,Kasba,8.54,1432684800000.0,1606348800000,8322598.508081577,4009327.173223913,2015-03-30
2470,Dailyhunt,http://m.dailyhunt.in/news/india/english/u4uvoice-epaper-uvoice/landslide+at+jammu+srinagar+national+highway-newsid-66520969,10850,1492300800000.0, ,Multiple rockfalls along Batote-Doda Road,Rockfalls along road force its complete closure in both directions,"Batote-Doda Road, Doda, Jammu & Kashmir, India",10km,rock_fall,rain,small,above_road,0,0, , , ,GLC, ,33.1292173,75.44618906,India,IN,Jammu and Kashmir,Doda,9.65,1501200000000.0,1606348800000,8398631.348563572,3912467.9857574217,2017-04-16
2473,The New Indian Express,http://www.newindianexpress.com/nation/2017/jan/27/fresh-avalanches-in-jammu--kashmir-toll-rises-to-20-1564077.html,10939,1485302400000.0,unknown,Two Gurez Sector Avalanches Trap Soldiers Under Debris,"Two avalanches hit army personnel in Gurez sector on Wednesday evening trapping several soldiers under the debris. While seven personnel were rescued alive by the teams, bodies of 10 soldiers were recovered yesterday.","Gurez, Bandipore, Jammu & Kashmir",1km,snow_avalanche,snowfall_snowmelt,medium,natural_slope,10,7, , , ,GLC, ,34.63639,74.77415081,India,IN,Jammu and Kashmir,Wampor,2.08,1509062400000.0,1606348800000,8323820.39300261,4114577.130859103,2017-01-25
2481,The Kathmandu Post,http://kathmandupost.ekantipur.com/news/2017-07-12/bajhang-landslide-wipes-out-school.html,10868,1499644800000.0,19:00,Talkot Landslide,Landslide after continuous rainfall lasting 2-3 days in Talkot destroys an office building and a 22 classroom block of the Durga Bhawani Higher Secondary School.,"Talkot, Bhajang District, Nepal",10km,landslide,continuous_rain,medium,natural_slope,0,0, , , ,GLC, ,29.61896246,81.322472,Nepal,NP,Seti,Dhuli,19.39,1499817600000.0,1606348800000,9052776.17342421,3454664.4508485585,2017-07-10
2490,My Republica,http://www.myrepublica.com/news/18437/,10880,1492128000000.0, ,Landslide near Mugling,"Landslide blocks Narayanghat-Mugling road near Mugling. Described in article as a ""dry landslide.""","Darechok, Narayani, Nepal",1km,landslide,no_apparent_trigger,small,above_road,0,0, , , ,GLC, ,27.85256028,84.55829403,Nepal,NP,Narayani,Narayangarh,22.42,1501113600000.0,1606348800000,9412986.234212792,3230397.699435292,2017-04-14
2504,Echo of Arunachal,http://echoofarunachal.in/newecho/2017/05/16/one-dies-in-landslide/,11175,1493769600000.0, ,Fatal landslide in Yangte,"Landslide kills one in Yangte village. Article very sparse on information, presumably rainfall triggered due to the contemporaneous flooding in Arunachal.","Yangte, Kra Daadi District, Arunachal Pradesh, India",1km,landslide,rain,medium,unknown,1,0, , , ,GLC, ,27.82743132,93.62407259,India,IN,Arunachal Pradesh,Iyaba,0.97,1499817600000.0,1606348800000,10422184.086377328,3227234.1969434465,2017-05-03
2511,Times of India,http://timesofindia.indiatimes.com/city/shimla/heavy-snowfall-damage-road-on-kunzum-pass/articleshow/58451196.cms?,10862,1493510400000.0, ,Landslides along Gramphu-Kaza road,"Heavy snowfall causes numerous avalanches around Kunzum pass, landslides reported along Gramphu-Kaza road","Lahul, Lahul & Spiti, Himachal Pradesh, India",50km,landslide,snowfall_snowmelt,small,above_road,0,0, , ,Date approximate,GLC, ,32.3071683,77.60234008,India,IN,Himachal Pradesh,Chandra,33.61,1500249600000.0,1606348800000,8638652.982406009,3803699.1215166748,2017-04-30
2519,The Times of India,http://timesofindia.indiatimes.com/city/dehradun/soldier-killed-in-j-k-landslide-cremated-with-military-honours/articleshow/56188668.cms,10821,1482710400000.0,07:00,Fatal landslide in Banihal,Landslide kills Indian soldier in Banihal (article doesn't provide further details about the landslide),"Banihal, Ramban, Jammu & Kashmir, India",1km,landslide,unknown,unknown,unknown,1,0, , , ,GLC, ,33.43537575,75.19067397,India,IN,Jammu and Kashmir,Gund,0.88,1500595200000.0,1606348800000,8370187.538186856,3953236.4268377535,2016-12-26
2520,Arunachal Times,http://www.arunachaltimes.in/arunachal-devastated-by-landslides-and-floods-minor-dead/,11167,1499558400000.0, ,Landslide on road near Durga Mandir,"Landslide on Nirjuli to Banderdewa road obstructs said road, after heavy rains","Naharlagun Sub-District, Papum Pare, Arunachal Pradesh",10km,landslide,continuous_rain,small,above_road,0,0, , , ,GLC, ,27.11610665,93.79559574,India,IN,Arunachal Pradesh,North Lakhimpur,33.64,1499644800000.0,1606348800000,10441277.956762502,3137985.2443250725,2017-07-09
2521,Kashmir Life,http://kashmirlife.net/kishtwar-landslide-kills-two-labourers-123427/,10863,1478736000000.0,17:00,Landslide Kills Two at Road Construction Site in Sarthal Area,"In a tragic incident in remote Sarthal area of Kishtwar,  a labourer and a JCB operator working at a road construction site died after they came under the impact of the landslide triggered due to weakening of the rocks.  As per the details available with","Sarthwal, Kishtar",5km,rock_fall,construction,small,natural_slope,2,0, , , ,GLC, ,32.83198,75.730159,India,IN,Jammu and Kashmir,Bhadarwah,16.11,1499817600000.0,1606348800000,8430242.737573652,3873023.2954812124,2016-11-10
2524,Greater Kashmir,http://www.greaterkashmir.com/news/kashmir/one-way-traffic-on-jammu-srinagar-highway/242344.html,10833,1488153600000.0,unknown,Landslides Along 300-km Jammu-Srinagar Highway,"One-way traffic was allowed from Srinagar to Jammu on the strategic Jammu-Srinagar highway on Monday due to bad road conditions, officials here said. Due to multiple landslides and snowfall, the highway has remained close off and on during this winter ca","NH-1A, Banihal, Ramban, Jammu & Kashmir, 182145",100km,landslide,snowfall_snowmelt,unknown,above_road,0,0, , , ,GLC, ,33.37197314,75.19440189,India,IN,Jammu and Kashmir,Gund,6.9,1507766400000.0,1606348800000,8370602.529122211,3944781.898167781,2017-02-27
